you,12505
a,6745
the,5883
i,5747
fuck,4616
and,4274
to,3952
is,3593
of,3114
your,2668
are,2627
nigger,2387
shit,2325
that,2069
in,2056
my,1942
ass,1833
it,1797
suck,1782
,1752
fucking,1746
this,1666
u,1582
me,1578
penis,1418
for,1396
on,1390
have,1333
with,1232
cunt,1174
not,1174
go,1162
fat,1084
wikipedia,1002
dont,976
do,975
bullshit,964
yourself,950
all,939
off,893
die,865
like,855
be,841
so,821
what,819
no,788
get,775
will,760
can,757
as,741
bitch,731
up,721
if,718
dick,662
about,647
jew,639
was,634
just,626
know,624
yourselfgo,621
or,605
an,603
am,599
but,594
who,573
im,559
page,557
hate,552
cock,549
because,541
faggot,531
its,524
sucks,512
piece,510
youre,490
damn,484
from,483
by,465
he,455
fucker,453
poop,448
at,447
here,444
out,422
why,419
stupid,411
going,406
people,399
life,396
block,395
rape,386
article,384
asshole,379
bastard,375
they,363
mexicans,361
offfuck,360
anal,353
kill,351
one,351
stop,348
how,344
his,343
dickhead,340
think,338
bitchesfuck,333
some,333
edit,332
cocksucker,329
bollocks,325
now,324
talk,321
being,320
right,313
bitchfuck,312
mothjer,304
wiki,298
time,294
has,292
then,291
big,289
should,278
assfuck,278
little,277
when,275
did,270
would,264
more,261
make,260
edits,259
there,258
again,258
come,257
said,255
we,255
been,251
useless,250
penissmall,249
-,248
such,248
shut,248
want,247
even,246
give,244
d,242
see,237
ban,237
gay,235
other,233
information,229
bot,228
homeland,228
still,227
securityfuck,227
only,224
down,224
please,222
hell,219
cant,216
eat,214
good,211
ancestryfuck-off-jewish,207
take,201
them,200
idiot,200
were,199
any,198
back,198
user,197
fuckin,193
hey,193
really,192
also,192
work,192
sucku,191
had,190
than,189
spanish,189
dumb,188
robert,187
licker,186
where,185
her,184
ullmann,184
cocksucking,183
shitfuck,182
mother,181
atheist,180
their,179
nothing,179
centraliststupid,179
fan-1967,178
ill,178
nice,178
say,178
loser,177
post,176
fired,174
him,172
too,171
well,169
which,168
need,167
admins,167
got,166
bloody,164
over,162
way,160
thats,160
drink,159
lick,159
blocked,159
pigs,158
never,158
things,158
fggt,157
does,154
thanks,153
before,150
own,149
didnt,148
bleachanhero,148
fire,147
loves,145
alone,143
ever,141
she,140
foolwhat,139
useredgar181,139
bitchmattythewhite,139
delete,139
anything,138
editing,137
pro-assadhanibal911youre,134
cunts,134
leave,134
anyone,134
deleting,133
man,132
thieves,132
god,131
read,131
name,130
removing,130
hope,129
tell,129
doesnt,128
yaaa,128
haahhahahah,128
yaaaaah,128
day,128
every,128
oh,127
better,126
administratorprick,126
something,126
love,126
mum,125
whore,123
much,122
someone,122
pages,121
articles,120
warning,119
real,119
use,119
users,118
8dpenis,118
very,117
cocks,117
long,117
live,117
put,117
into,117
first,117
world,117
thing,116
homo,116
keep,115
fun,115
nipple,114
look,114
wrong,112
computeri,112
arrest,112
ive,111
these,111
california,110
another,110
made,110
diego,110
site,109
many,108
mesan,108
ip,108
shitheadi,108
vista,108
chula,108
trying,107
let,107
mean,106
crap,105
pneis,105
pensnsnniensnsn,105
murder,105
pennnis,105
reading,104
free,103
dumbass,103
actually,103
making,102
care,102
idea,102
bitches,102
try,101
since,100
last,100
pussy,100
those,100
ur,100
new,100
notrhbysouthbanof,100
account,100
while,98
yeah,98
doing,98
huge,97
pathetic,97
most,95
admin,95
after,94
personal,94
messages,92
done,92
old,92
edie,91
vandalism,91
head,91
wont,90
around,90
di,90
face,90
same,90
king,89
fag,89
along,89
encyclopedia,89
us,88
cuntfranks,88
find,88
mitt,87
understand,87
call,87
romney,87
ugly,86
watching,86
wrote,86
fact,85
comment,85
problem,83
motherfucker,83
could,82
leaving,82
two,81
else,81
away,81
guys,80
bag,80
ha,80
hes,80
son,80
2,79
place,79
isnt,79
called,79
probably,78
reason,78
dickfucking,78
fucked,78
jasenm222,78
history,77
chink,77
coward,77
bad,76
arse,75
deleted,75
change,74
banned,74
bongwarriorcongratualtions,74
njgw,74
fuckingabf,74
due,73
r,73
shot,73
n,73
may,73
ruining,73
person,72
moron,72
hi,72
lion,71
jforget,71
until,71
takes,71
against,71
instead,70
true,70
sorry,70
whatever,69
raid,69
believe,69
job,69
bestfrozen,69
vuvuzelas,69
yet,68
internet,68
threads,68
revert,68
gonna,67
stay,67
mods,67
billj,67
must,66
enough,66
message,66
sannse,66
angela,66
shitty,65
credit,65
editors,65
quit,64
sure,64
kike,64
everyone,63
maybe,63
cheese,63
years,63
knob,63
salt,63
libtard,63
guy,62
source,62
fuckbags,62
fool,62
our,62
lifetime,62
limped-dicked,62
phuq,62
comments,62
remove,61
seriously,61
stuff,60
racist,60
getting,60
show,59
dirty,59
prick,59
add,58
great,58
feel,58
nate,58
either,57
idiots,57
blocking,57
lol,57
f,57
talking,57
whole,57
others,57
point,57
already,57
sex,57
yes,57
times,56
hello,56
thank,56
write,56
few,56
white,56
couriano,56
dude,56
word,56
year,55
sick,55
ok,55
everything,55
dead,55
full,55
added,55
piss,54
having,54
bunch,54
kind,54
balls,54
faggotjéské,54
youve,54
without,54
death,53
yo,53
sign,52
says,52
jerk,52
arent,52
thought,52
theres,52
hard,51
ya,51
help,51
once,51
home,51
sources,51
website,50
whats,50
retarded,50
told,50
makes,50
saying,50
both,50
guess,49
wasnt,49
douche,49
mom,49
calling,49
3,49
lot,48
might,48
though,48
family,48
wanna,48
discussion,48
power,47
ahead,47
assholes,47
cool,47
deletion,47
nazi,46
far,46
continue,46
truth,46
obviously,46
fucky,46
attack,46
dare,46
outside,46
supertr0ll,46
parents,46
listen,46
question,45
each,45
always,45
mind,45
case,45
used,45
forever,45
ask,45
editor,45
removed,45
ps,44
learn,44
sad,44
youll,44
scum,44
ignorant,44
usernhrhs2010,44
least,43
completely,43
reverting,43
next,43
userenigmaman,43
english,43
friends,43
using,42
d31r,42
sucking,42
utc,42
game,42
words,42
best,42
seems,42
left,42
coming,41
attacks,41
days,41
stick,41
bald,41
through,41
language,41
butt,41
retard,41
id,41
joke,41
part,41
self,41
yours,41
bit,40
1,40
sloppy,40
clear,40
matter,40
anyway,40
computer,40
shes,39
course,39
black,39
17,39
several,39
men,39
unblock,39
